State,Year,numschools offering,Total num,yield per teacher,diff from prev year,percentincrease,numpassed,percent passed,numfemale,numfemale passed,percentage female passed,percent female,numBlack,numBlack Passed,percent Black passed,percent Black,numBlack Males,numBlack Males passed,percent Black Male passed,numBlack Females,numBlack Females passed,percentBlack Females passed,numHispanic,numHispanic passed,percentHispanic passed,numHispanic Females,numHispanic Females passed,percentH females passed,percentHispanic,numHispanic males,numHispanic males passed,percent Hismalepassed,numwhite ,numwhite passed,percentwhite pass,numwhite males,numwhite females,numasian,numasian passed,percentasian passed,numAsian Male,numAsian Female
Rhode Island,2009,5,27,5.4,-6,-18.18181818,19,70.37037037,6,4,66.66666667,22.22222222,1,*,*,3.703703704,1,*,*,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rhode Island,2010,4,23,5.75,-4,-14.81481481,20,86.95652174,6,4,66.66666667,26.08695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rhode Island,2011,8,60,7.5,37,160.8695652,41,68.33333333,16,3,18.75,26.66666667,2,*,*,7.438016529,0,0,0,2,*,*,6,2,33.33333333,4,*,*,10,,,,,,,,,,,,,
Rhode Island,2012,7,62,8.857142857,2,3.333333333,30,48.38709677,7,1,14.28571429,11.29032258,0,0,0,0,0,0,0,0,0,0,4,*,*,0,0,0,6.451612903,,,,,,,,,,,,,
Rhode Island,2013,8,61,7.625,-1,-1.612903226,48,78.68852459,9,8,88.88888889,14.75409836,1,*,*,7.438016529,1,*,*,0,0,0,1,*,*,0,0,0,1.639344262,,,,,,,,,,,,,
South Carolina,2006,,162,,,,98,60.49382716,30,17,56.66666667,18.51851852,7,3,42.85714286,4.320987654,7,3,42.85714286,0,0,0,2,*,*,0,0,0,1.234567901,,,,,,,,,,,,,
South Carolina,2007,,187,,25,15.43209877,92,49.19786096,33,14,42.42424242,17.64705882,7,0,0,3.743315508,5,0,0,2,*,*,4,*,*,0,0,0,2.139037433,,,,,,,,,,,,,
South Carolina,2008,20,221,11.05,34,18.18181818,139,62.8959276,46,27,58.69565217,20.81447964,8,3,37.5,3.619909502,6,3,50,2,*,*,4,*,*,0,0,0,1.809954751,,,,,,,,,,,,,
South Carolina,2009,20,215,10.75,-6,-2.714932127,127,59.06976744,48,23,47.91666667,22.3255814,18,6,33.33333333,8.372093023,11,4,36.36363636,7,2,28.57142857,8,2*,25*,1,*,*,3.720930233,,,,,,,,,,,,,
South Carolina,2010,20,209,10.45,-6,-2.790697674,127,60.76555024,50,28,56,23.92344498,11,4,36.36363636,5.263157895,5,1,20,6,3,50,9,*,*,2,*,*,4.306220096,,,,,,,,,,,,,
South Carolina,2011,19,214,11.26315789,5,2.392344498,130,60.74766355,55,30,54.54545455,25.70093458,14,7,50,6.542056075,10,6,60,4,*,*,4,*,*,1,*,*,1.869158879,,,,,,,,,,,,,
South Carolina,2012,18,276,15.33333333,62,28.97196262,132,47.82608696,63,24,38.0952381,22.82608696,24,3,12.5,8.695652174,12,2,16.66666667,12,1,8.333333333,10,*,*,3,*,*,3.623188406,,,,,,,,,,,,,
South Carolina,2013,16,275,17.1875,-1,-0.362318841,173,62.90909091,57,26,45.61403509,20.72727273,19,7,36.84210526,6.909090909,13,5,38.46153846,6,2,33.33333333,14,6*,42.86*,3,*,*,5.090909091,,,,,,,,,,,,,
Tennessee,2006,,82,,,,51,62.19512195,14,10,71.42857143,17.07317073,7,5,71.42857143,8.536585366,7,5,71.42857143,0,0,0,2,*,*,1,*,*,2.43902439,,,,,,,,,,,,,
Tennessee,2007,,67,,-15,-18.29268293,23,34.32835821,14,2,14.28571429,20.89552239,4,*,*,5.970149254,4,*,*,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tennessee,2008,14,56,4,-11,-16.41791045,35,62.5,16,10,62.5,28.57142857,7,4,57.14285714,12.5,5,3,60,2,*,*,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tennessee,2009,17,78,4.588235294,22,39.28571429,51,65.38461538,9,1,11.11111111,11.53846154,13,4,30.76923077,16.66666667,8,4,50,5,0,0,1,*,*,0,0,0,1.282051282,,,,,,,,,,,,,
Tennessee,2010,13,90,6.923076923,12,15.38461538,57,63.33333333,22,9,40.90909091,24.44444444,5,1,20,5.555555556,4,*,*,1,*,*,0,0,0,0,0,0,0,,,,,,,,,,,,,
Tennessee,2011,15,134,8.933333333,44,48.88888889,90,67.1641791,27,17,62.96296296,20.14925373,5,2,40,3.731343284,3,*,*,2,*,*,3,*,*,0,0,0,2.23880597,,,,,,,,,,,,,
Tennessee,2012,17,160,9.411764706,26,19.40298507,88,55,50,20,40,31.25,14,1,7.142857143,8.75,6,1,16.66666667,8,0,0,6,*,*,3,*,*,3.75,,,,,,,,,,,,,
Tennessee,2013,18,251,13.94444444,91,56.875,165,65.73705179,73,45,61.64383562,29.08366534,25,8,32,9.960159363,13,4,30.76923077,12,4,33.33333333,11,6,54.54545455,3,*,*,4.38247012,,,,,,,,,,,,,
Texas,2006,,2411,,,,1370,56.82289506,595,301,50.58823529,24.67855662,74,25,33.78378378,3.069265865,54,20,37.03703704,20,5,25,375,139,37.06666667,101,28*,27.72*,15.55371215,,,,,,,,,,,,,
Texas,2007,,2593,,182,7.548734965,1398,53.91438488,668,323,48.35329341,25.76166602,84,18,21.42857143,3.239490937,54,12,22.22222222,30,6,20,375,128,34.13333333,104,25*,24.04*,14.46201311,,,,,,,,,,,,,
Texas,2008,273,2951,10.80952381,358,13.80640185,1642,55.6421552,751,402,53.5286285,25.44900034,110,39,35.45454545,3.727549983,72,23,31.94444444,38,16,42.10526316,401,134,33.41645885,94,22*,23.40*,13.58861403,,,,,,,,,,,,,
Texas,2009,294,3224,10.96598639,273,9.251101322,1858,57.63027295,926,477,51.51187905,28.72208437,122,34,27.86885246,3.784119107,74,23,31.08108108,48,11,22.91666667,445,144,32.35955056,130,24*,18.46*,13.80272953,,,,,,,,,,,,,
Texas,2010,272,3392,12.47058824,168,5.210918114,2000,58.96226415,899,492,54.72747497,26.50353774,145,50,34.48275862,4.274764151,98,36,36.73469388,47,14,29.78723404,540,203,37.59259259,143,39*,27.27*,15.91981132,,,,,,,,,,,,,
Texas,2011,266,3597,13.52255639,205,6.043632075,1945,54.07283848,866,410,47.34411085,24.07561857,127,44,34.64566929,3.530720044,96,37,38.54166667,31,7,22.58064516,641,202,31.51326053,182,40,21.97802198,17.82040589,,,,,,,,,,,,,
Texas,2012,278,3614,13,17,0.472616069,2102,58.16270061,838,415,49.52267303,23.18760376,142,52,36.61971831,3.929164361,110,43,39.09090909,32,9,28.125,609,211,34.64696223,153,26*,16.99*,16.85113448,,,,,,,,,,,,,
Texas,2013,271,3979,14.68265683,365,10.09961262,2454,61.67378738,910,520,57.14285714,22.87006786,132,64,48.48484848,3.317416436,102,50,49.01960784,30,14,46.66666667,751,334,44.47403462,178,56*,31.46*,18.87408897,,,,,,,,,,,,,
Virginia,2006,,646,,,,390,60.37151703,104,53,50.96153846,16.09907121,38,10,26.31578947,5.882352941,32,10,31.25,6,0,0,33,14*,42.42*,7,1*,14.29*,5.108359133,,,,,,,,,,,,,
Virginia,2007,,888,,242,37.46130031,406,45.72072072,148,55,37.16216216,16.66666667,43,13,30.23255814,4.842342342,39,13,33.33333333,4,*,*,38,10*,26.32*,8,1*,12.5*,4.279279279,,,,,,,,,,,,,
Virginia,2008,80,859,10.7375,-29,-3.265765766,402,46.79860303,137,63,45.98540146,15.94877765,42,14,33.33333333,4.889406286,32,11,34.375,10,3,30,40,11*,27.5*,8,2*,25*,4.656577416,,,,,,,,,,,,,
Virginia,2009,83,913,11,54,6.286379511,515,56.40744797,133,67,50.37593985,14.56736035,41,13,31.70731707,4.490690033,30,11,36.66666667,11,2,18.18181818,41,14,34.14634146,8,2,25,4.490690033,,,,,,,,,,,,,
Virginia,2010,98,1177,12.01020408,264,28.91566265,736,62.53186066,201,120,59.70149254,17.07731521,50,22,44,4.24808836,38,18,47.36842105,12,4,33.33333333,56,24,42.85714286,7,3*,42.86*,4.757858963,,,,,,,,,,,,,
Virginia,2011,89,1203,13.51685393,26,2.209005947,715,60.37151703,210,114,54.28571429,17.4563591,61,20,32.78688525,5.070656692,52,19,36.53846154,9,1,11.11111111,44,24,54.54545455,6,*,*,3.65752286,,,,,,,,,,,,,
Virginia,2012,101,1430,14.15841584,227,18.86949293,854,60.37151703,250,140,56,17.48251748,58,14,24.13793103,4.055944056,47,12,25.53191489,11,2,18.18181818,55,26,47.27272727,12,2*,16.67*,3.846153846,,,,,,,,,,,,,
Virginia,2013,110,1655,15.04545455,225,15.73426573,1074,60.37151703,308,207,67.20779221,18.6102719,78,22,28.20512821,4.712990937,62,17,27.41935484,16,5,31.25,90,42,46.66666667,9,2*,*,5.438066465,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
